ID,Name,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18
1,Balogun,ARS,,,,,,,,,,,,,,,,,,
2,Cédric,ARS,,,,,,,,,,,,,,,,,,
3,M.Elneny,ARS,,1,1,1,1,1,,,,,,,,,,,,
4,Fábio Vieira,ARS,,,,,,,,,,,,,,,,,,
5,Gabriel,ARS,,,,,,,,,,,,,,,,,,
6,Havertz,ARS,,,,,,,,,,,,,,,,,,
7,Holding,CRY,,,,,,,,,,,,,,,,,,
8,G.Jesus,ARS,1,1,1,,,,,0.5,,,,,,,,,,
9,Jorginho,ARS,,,,,,,,,,,,,,,,,,
10,Kiwior,ARS,,,,,,,,,,,,,,,,,,
11,Marquinhos,ARS,,,,,,,,,,,,,,,,,,
12,Martinelli,ARS,,,,,,0.5,0.5,0.5,,,,,,,,,,
13,Nketiah,ARS,,,,,,,,,,,,,,,,,,
14,Ødegaard,ARS,,,,,,,,,,,,,,,,,,
15,Thomas,ARS,,,,,1,1,1,1,,,,,,,,,,
16,Pepe,ARS,,,,,,,,,,,,,,,,,,
17,Ramsdale,ARS,,,,,,,,,,,,,,,,,,
18,Rúnarsson,ARS,,,,,,,,,,,,,,,,,,
19,Saka,ARS,,,,,,,,0.5,0.5,,,,,,,,,
20,Saliba,ARS,,,,,,,,,0.5,,,,,,,,,
21,Sambi,LUT,,,,,,,,1,1,1,,,,,,,,
22,Smith Rowe,ARS,,,,,,,,,,,,,,,,,,
23,Tavares,NFO,,,,,,,0.5,0.5,1,1,,,,,,,,
24,Tierney,ARS,,,,,,,,,,,,,,,,,,
25,Tomiyasu,ARS,,,,,,,,,,,,,,,,,,
26,Trossard,ARS,,,,,,,0.5,,0.5,,,,,,,,,
27,Trusty,SHU,,,,,,,,,,,,,,,,,,
28,Turner,NFO,,,,,,,,,,,,,,,,,,
29,White,ARS,,,,,,,,,,,,,,,,,,
30,Xhaka,ARS,,,,,,,,,,,,,,,,,,
31,Zinchenko,ARS,,,,,,,,,,,,,,,,,,
32,Alex Moreno,AVL,1,1,1,1,1,,0.5,0.5,0.5,1,,,,,,,,
33,Archer,SHU,,,,,,,,,,,,,,,,,,
34,Bailey,AVL,,,,,,,,1,,,,,,,,,,
35,Buendia,AVL,,1,1,1,1,1,1,1,1,1,,,,,,,,
36,Cash,AVL,,,,,,,,,,,,,,,,,,
37,Chambers,AVL,,,,,,,,,,,,,,,,,,
38,Coutinho,AVL,,,1,1,1,,,,,,,,,,,,,
39,Davis,AVL,,,,,,,,,,,,,,,,,,
40,Dendoncker,AVL,,1,1,1,,,,,,,,,,,,,,
41,Diego Carlos,AVL,,,,,0.5,1,1,,,,,,,,,,,
42,Digne,AVL,,,,,,,,,,,,,,,,,,
43,Douglas Luiz,AVL,,,,,,,,,,,,,,,,,,
44,Duran,AVL,,1,,,,,,,,,,,,,,,,
45,Hause,AVL,,,,,,,,,,,,,,,,,,
46,Iroegbunam,AVL,,1,1,1,1,1,1,1,1,,,,,,,,,
47,Kamara,AVL,,,,,,,,0.5,,,,,,,,,,
48,Konsa,AVL,,,,,,,,,,,,,,,,,,
49,Martinez,AVL,,,,0.5,,,,,,,,,,,,,,
50,McGinn,AVL,,,,,,,,,,,,,,,,,,
51,Mings,AVL,,1,1,1,1,1,1,1,1,1,,,,,,,,
52,Nakamba,LUT,,,,,,,,,,,,,,,,,,
53,Olsen,AVL,,,,,,,,,,,,,,,,,,
54,Philogene,AVL,,,,,,,,,,,,,,,,,,
55,J.Ramsey,AVL,1,1,1,1,1,1,,,0.5,1,,,,,,,,
56,Sanson,AVL,,,,,,,,,,,,,,,,,,
57,Sinisalo,AVL,,,,,,,,,,,,,,,,,,
58,Tielemans,AVL,,,,,,,,,,,,,,,,,,
59,Bertrand Traoré,AVL,,1,,,,1,1,,,,,,,,,,,
60,Watkins,AVL,,,,,,,,,,,,,,,,,,
61,Wesley,AVL,,,,,,,,,,,,,,,,,,
62,Anthony,BOU,,,,,,,,,,,,,,,,,,
63,Billing,BOU,,,,,,,,,0.5,,,,,,,,,
64,Brooks,BOU,,,,,,,,,,,,,,,,,,
65,Christie,BOU,0.5,,,,,,,,,,,,,,,,,
66,L.Cook,BOU,,0.5,0.5,,,,,,,1,,,,,,,,
67,Siriki,BOU,,,,,,,,,,,,,,,,,,
68,Fredericks,BOU,1,1,1,1,1,1,1,1,1,1,,,,,,,,
69,Hill,BOU,,,,,,,,,,,,,,,,,,
70,Kelly,BOU,0.5,1,,,,,,1,1,,,,,,,,,
71,Kilkenny,BOU,,,,,,,,,,,,,,,,,,
72,Kluivert,BOU,,,,,,,,,,,,,,,,,,
73,Lowe,BOU,,,,,,,,,,,,,,,,,,
74,Marcondes,BOU,,,1,1,1,1,1,1,1,1,,,,,,,,
75,Mepham,BOU,,,,,,,,1,0.5,,,,,,,,,
76,Moore,BOU,,,,,,,,,,,,,,,,,,
77,Neto,BOU,,,,,,,,,,,,,,,,,,
78,O.Dango,BOU,,1,1,1,1,,,,,,,,,,,,,
79,Pearson,BOU,,,,,,,,,,,,,,,,,,
80,Randolph,BOU,,,,,,,,,,,,,,,,,,
81,Rothwell,BOU,,,,,,,,,,,,,,,,,,
82,Semenyo,BOU,1,,,,,,,,,,,,,,,,,
83,Senesi,BOU,,,,,,,,,,,,,,,,,,
84,Smith,BOU,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,
85,Solanke,BOU,,,,,,,,,,,,,,,,,,
86,Tavernier,BOU,1,1,1,1,,,,,,,,,,,,,,
87,Hamed Traorè,BOU,,,,,,,,,,,,,,,,,,
88,Travers,BOU,,,,,,,,,,,,,,,,,,
89,Zabarnyi,BOU,,,,,,,,,,,,,,,,,,
90,Ajer,BRE,,,,,,,,,,,,,,,,,,
91,Balcombe,BRE,,,,,,,,,,,,,,,,,,
92,Baptiste,BRE,,,,1,1,1,1,1,1,1,,,,,,,,
93,Bech,BRE,,,,,,,,,,,,,,,,,,
94,Bidstrup,BRE,,,,,,,,,,,,,,,,,,
95,Canós,BRE,,,,,,,,,,,,,,,,,,
96,Collins,BRE,,,,,,,,,,,,,,,,,,
97,Cox,BRE,,,,,,,,,,,,,,,,,,
98,Damsgaard,BRE,,,,0.5,1,1,1,1,1,1,,,,,,,,
99,Dasilva,BRE,0.5,,0.5,1,1,1,1,1,1,1,,,,,,,,
100,Dervişoğlu,BRE,,,,,,,,,,,,,,,,,,
101,Flekken,BRE,,,,,,,,,0.5,,,,,,,,,
102,Goode,BRE,,,,,,,,,,,,,,,,,,
103,Henry,BRE,0.5,,,,,0.5,1,1,1,1,,,,,,,,
104,Hickey,BRE,,,,,,,,,1,,,,,,,,,
105,Janelt,BRE,,,,,,,,,,,,,,,,,,
106,Jensen,BRE,,0.5,,,,,,,,,,,,,,,,
107,Lewis-Potter,BRE,,,,,,,,,0.5,0.5,,,,,,,,
108,Mbeumo,BRE,0.5,,,,,,,,,,,,,,,,,
109,Mee,BRE,,0.5,0.5,0.5,,,0.5,1,1,,,,,,,,,
110,Nørgaard,BRE,,,,,,,,,,,,,,,,,,
111,Onyeka,BRE,0.5,0.5,,,,,,,,,,,,,,,,
112,Pinnock,BRE,,,,,,,,,0.5,,,,,,,,,
113,Raya,ARS,,,,,,,,,,,,,,,,,,
114,Roerslev,BRE,,,,,,,,,,,,,,,,,,
115,Schade,BRE,,,,,,,0.5,1,1,1,,,,,,,,
116,Strakosha,BRE,,,,0.5,,,,,,,,,,,,,,
117,Toney,BRE,1,1,1,1,1,1,1,1,1,1,,,,,,,,
118,Trevitt,BRE,,,,,,,,,,,,,,,,,,
119,Wissa,BRE,,,,,,,,,,,,,,,,,,
120,Yarmolyuk,BRE,,,,,,,,,,,,,,,,,,
121,Zanka,BRE,,,,,,,,,,,,,,,,,,
122,Adingra,BHA,,,,,,,,,,,,,,,,,,
123,Alzate,BHA,,,,,,,,,,,,,,,,,,
124,Ayari,BHA,,,,,,,,,,,,,,,,,,
125,Buonanotte,BHA,,,,,,,,,,,,,,,,,,
126,Caicedo,CHE,,,,,,0.5,,,,,,,,,,,,
127,Connolly,BHA,,,,,,,,,,,,,,,,,,
128,Dahoud,BHA,,,,,,,,,,,,,,,,,,
129,Dunk,BHA,,,,,,,,,,,,,,,,,,
130,Enciso,BHA,,,,1,1,1,1,1,1,1,,,,,,,,
131,Estupiñan,BHA,,,,,,,,,1,1,,,,,,,,
132,Ferguson,BHA,,,,,0.5,,,,,,,,,,,,,
133,Gilmour,BHA,,,,,,,,,,,,,,,,,,
134,Gross,BHA,,,,,,,0.5,1,,,,,,,,,,
135,João Pedro,BHA,,,,,,,,,,,,,,,,,,
136,Karbownik,BHA,,,,,,,,,,,,,,,,,,
137,Kozłowski,BHA,,,,,,,,,,,,,,,,,,
138,Lallana,BHA,,0.5,,,,,,1,,,,,,,,,,
139,Lamptey,BHA,,,,,,,,,0.5,0.5,,,,,,,,
140,March,BHA,,,,,,0.5,,,,1,,,,,,,,
141,McGill,BHA,,,,,,,,,,,,,,,,,,
142,Milner,BHA,,,,,,,0.5,1,1,,,,,,,,,
143,Mitoma,BHA,,,,,,,,,,,,,,,,,,
144,Moder,BHA,,,,,,,,,,1,,,,,,,,
145,Sanchez,CHE,,,,,,,,,,,,,,,,,,
146,Sarmiento,BHA,,,,,,,,,,,,,,,,,,
147,Scherpen,BHA,,,,,,,,,,,,,,,,,,
148,Steele,BHA,,,,,,,,,,,,,,,,,,
149,Undav,BHA,,,,,,,,,,,,,,,,,,
150,Van Hecke,BHA,,,,,,,,,,,,,,,,,,
151,Veltman,BHA,,,,,,,,,,,,,,,,,,
152,Verbruggen,BHA,,,,,,,,,,,,,,,,,,
153,Webster,BHA,,0.5,,,,,,,,,,,,,,,,
154,Welbeck,BHA,,,,,1,,,,,0.5,,,,,,,,
155,Zeqiri,BHA,,,,,,,,,,,,,,,,,,
156,Agyei,BUR,,,,,,,,,,,,,,,,,,
157,Al-Dakhil,BUR,,,,,,,,,,,,,,,,,,
158,Bastien,BUR,,,,,,,,,,,,,,,,,,
159,Benson,BUR,,,,,,,,1,1,1,,,,,,,,
160,Beyer,BUR,,,,1,,,,,0.5,0.5,,,,,,,,
161,Brownhill,BUR,,,,,,,,,,,,,,,,,,
162,Churlinov,BUR,,,,,0.5,0.5,0.5,1,1,,,,,,,,,
163,Cork,BUR,,,,,,,,,,,,,,,,,,
164,Costelloe,BUR,,,,,,,,,,,,,,,,,,
165,Cullen,BUR,,,,,,,,,,,,,,,,,,
166,Egan-Riley,BUR,,,,,,,,,,,,,,,,,,
167,Ekdal,BUR,,,,,1,1,1,1,1,1,,,,,,,,
168,Foster,BUR,,,,,,,1,,,,,,,,,,,
169,Franchi,BUR,,,,,,,,,,,,,,,,,,
170,Gudmundsson,BUR,,,,,,,,0.5,1,1,,,,,,,,
171,McNally,BUR,,,,,,,,,,,,,,,,,,
172,Muric,BUR,,,,,,,,,,,,,,,,,,
173,O'Shea,BUR,,,,,,,,,,,,,,,,,,
174,Obafemi,BUR,1,1,1,1,1,1,1,1,1,1,,,,,,,,
175,Peacock-Farrell,BUR,,,,,,,,,,,,,,,,,,
176,Roberts,BUR,,,,,,,,,,1,,,,,,,,
177,Rodriguez,BUR,,,,,,,,,,,,,,,,,,
178,Taylor,BUR,,,,,,,,,,,,,,,,,,
179,Thomas,BUR,,,,,,,,,,,,,,,,,,
180,Twine,BUR,,,,,,,,,,,,,,,,,,
181,Vigouroux,BUR,,,,,,,,,,,,,,,,,,
182,Vitinho,BUR,,,,,0.5,,,,,,,,,,,,,
183,Weghorst,BUR,,,,,,,,,,,,,,,,,,
184,Zaroury,BUR,,1,1,1,,,,,,,,,,,,,,
185,Ampadu,CHE,,,,,,,,,,,,,,,,,,
186,Andrey,NFO,,,,1,,,,,,,,,,,,,,
187,Arrizabalaga,CHE,,,,,,,,,,,,,,,,,,
188,Aubameyang,CHE,,,,,,,,,,,,,,,,,,
189,Azpilicueta,CHE,,,,,,,,,,,,,,,,,,
190,Baba,CHE,,,,,,,,,,,,,,,,,,
191,B.Badiashile,CHE,1,1,1,1,1,1,1,1,1,,,,,,,,,
192,Bettinelli,CHE,1,1,1,,,,,,,,,,,,,,,
193,Broja,CHE,1,1,1,1,1,1,1,1,1,1,,,,,,,,
194,Chalobah,CHE,,1,1,1,1,1,1,1,1,1,,,,,,,,
195,Chilwell,CHE,,,,,,,,1,1,1,,,,,,,,
196,Chukwuemeka,CHE,,,0.5,1,1,1,1,,,1,,,,,,,,
197,Colwill,CHE,,,,,,,,,,,,,,,,,,
198,Cucurella,CHE,,,,,,0.5,,,,,,,,,,,,
199,Enzo,CHE,,,,,,,,,,,,,,,,,,
200,D.D.Fofana,CHE,,,,,,,,,,,,,,,,,,
201,W.Fofana,CHE,1,1,1,1,1,1,1,1,1,1,,,,,,,,
202,Gallagher,CHE,,,,,,,,,,,,,,,,,,
203,Gusto,CHE,,,,,,,1,1,,,,,,,,,,
204,Hall,NEW,,,,,,,,,,,,,,,,,,
205,Hudson-Odoi,NFO,,,,,,,,,,1,,,,,,,,
206,James,CHE,,,1,1,0.5,1,1,1,,,,,,,,,,
207,Lukaku,CHE,,,,,,,,,,,,,,,,,,
208,Madueke,CHE,0.5,,,,,0.5,0.5,,,,,,,,,,,
209,Mount,MUN,,,,1,1,1,1,,,,,,,,,,,
210,Mudryk,CHE,,,,0.5,,,,,,,,,,,,,,
211,N.Jackson,CHE,,,,,,,1,,0.5,,,,,,,,,
212,Nkunku,CHE,0.5,1,1,1,1,1,1,1,1,1,,,,,,,,
213,Pulisic,CHE,,,,,,,,,,,,,,,,,,
214,M.Sarr,CHE,,,,,,,,,,,,,,,,,,
215,Slonina,CHE,,,,,,,,,,,,,,,,,,
216,Sterling,CHE,,,,,,,,,,,,,,,,,,
217,T.Silva,CHE,,,,,,,,,,,,,,,,,,
218,Ziyech,CHE,,,,,,,,,,,,,,,,,,
219,Ahamada,CRY,,,,,,,1,1,1,,,,,,,,,
220,Andersen,CRY,,,,,,,,,,,,,,,,,,
221,J.Ayew,CRY,,,,,,0.5,,,,,,,,,,,,
222,Clyne,CRY,,,,,,,,,,,,,,,,,,
223,C.Doucouré,CRY,0.5,,,,,,,,0.5,,,,,,,,,
224,Ebiowei,CRY,,,1,1,1,,,,,,,,,,,,,
225,Edouard,CRY,,,,,,,0.5,0.5,,,,,,,,,,
226,Eze,CRY,,,,,,,,,1,1,,,,,,,,
227,Guaita,CRY,,,,,,,,,,,,,,,,,,
228,Guéhi,CRY,,,,,,1,,,,,,,,,,,,
229,Hughes,CRY,0.5,1,1,0.5,,,,,,,,,,,,,,
230,Johnstone,CRY,,,,,,,,,,,,,,,,,,
231,Lerma,CRY,,,,,,1,1,1,1,,,,,,,,,
232,Mateta,CRY,,,,,,,,,,,,,,,,,,
233,Matthews,CRY,,,,,,,,,,,,,,,,,,
234,Mitchell,CRY,0.5,,,,,,,,,,,,,,,,,
235,O'Brien,CRY,,,,,,,,,,,,,,,,,,
236,Olise,CRY,1,1,1,1,1,1,1,1,1,1,,,,,,,,
237,Plange,CRY,,,,,,,,,,,,,,,,,,
238,C.Richards,CRY,,,,,,,,,,,,,,,,,,
239,Riedewald,CRY,,,,,,,,,,,,,,,,,,
240,Schlupp,CRY,,,,,,,,,0.5,1,,,,,,,,
241,Tomkins,CRY,,,,,,1,1,1,,1,,,,,,,,
242,Ward,CRY,,,,,,,,,1,,,,,,,,,
243,Whitworth,CRY,,,,,,,,,,,,,,,,,,
244,André Gomes,EVE,,,,,,,,1,1,1,,,,,,,,
245,Branthwaite,EVE,,,,,0.5,,,,,,,,,,,,,
246,Calvert-Lewin,EVE,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,
247,Coleman,EVE,,1,1,1,1,1,1,1,1,1,,,,,,,,
248,Dele,EVE,,1,1,1,1,1,1,1,1,1,,,,,,,,
249,A.Doucoure,EVE,,,,,,,,,,,,,,,,,,
250,Garner,EVE,,,,,,,,,,,,,,,,,,
251,Gbamin,EVE,,,,,,,,,,,,,,,,,,
252,Godfrey,EVE,,,,,,,,,,,,,,,,,,
253,Gray,EVE,,,,,,,,,,,,,,,,,,
254,Gana,EVE,,,,,,,,,0.5,,,,,,,,,
255,Holgate,EVE,,,,,,,,,,,,,,,,,,
256,Iwobi,FUL,,,0.5,1,0.5,,,,,,,,,,,,,
257,Keane,EVE,,,,,,,,,,,,,,,,,,
258,Maupay,BRE,,,,,,,,,,,,,,,,,,
259,McNeil,EVE,1,1,1,1,,,,,,,,,,,,,,
260,Mykolenko,EVE,,,,,,,,,,,,,,,,,,
261,Onana,EVE,,,,,,,,,,,,,,,,,,
262,Patterson,EVE,,,,,,,,,,,,,,,,,,
263,Pickford,EVE,,,,,,,,,,,,,,,,,,
264,Simms,EVE,,,,,,,,,,,,,,,,,,
265,Tarkowski,EVE,0.5,,,,,,,,,,,,,,,,,
266,J.Virginia,EVE,,,,,,,,,,,,,,,,,,
267,Andreas,FUL,,,,0.5,,,,,,,,,,,,,,
268,Cairney,FUL,0.5,,,,0.5,,,,,,,,,,,,,
269,I.Cavaleiro,FUL,,,,,,,,,,,,,,,,,,
270,De Cordova-Reid,FUL,,,,,,,,,,,,,,,,,,
271,Diop,FUL,,,,,,,,,1,1,,,,,,,,
272,Francois,FUL,,,,,,,,,,,,,,,,,,
273,Knockaert,FUL,,,,,,,,,,,,,,,,,,
274,Kongolo,FUL,,,,,,,,,,,,,,,,,,
275,Leno,FUL,,,,,,,,,,,,,,,,,,
276,Lukić,FUL,,,,,0.5,1,1,,,,,,,,,,,
277,Mbabu,FUL,,,,,,,,,,,,,,,,,,
278,Mitrović,FUL,,,1,1,1,1,1,1,1,1,,,,,,,,
279,Muniz,FUL,,,,,,,,,,,,,,,,,,
280,J.Palhinha,FUL,1,1,,,,,,,,,,,,,,,,
281,Ream,FUL,,,1,,,,,,,,,,,,,,,
282,Reed,FUL,,,,,,,,,,,,,,,,,,
283,Robinson,FUL,,,,,,0.5,,,,,,,,,,,,
284,Rodák,FUL,,,,,,,,,,,,,,,,,,
285,Tete,FUL,,,,,,,0.5,0.5,0.5,0.5,,,,,,,,
286,Tosin,FUL,,,,,,1,1,1,1,1,,,,,,,,
287,Vinícius,FUL,,,,,,,,,,,,,,,,,,
288,Wilson,FUL,,,,,,,,,,,,,,,,,,
289,Adrián,LIV,,,,,,,,,,,,,,,,,,
290,Alexander-Arnold,LIV,,,0.5,,0.5,0.5,0.5,,,,,,,,,,,
291,A.Becker,LIV,,,,,,,,,,,,,,,,,,
292,Bajcetic,LIV,,,,,,,,1,1,,,,,,,,,
293,Darwin,LIV,,,,,,,,,,,,,,,,,,
294,Diogo J.,LIV,,,,,,,,1,,,,,,,,,,
295,Elliott,LIV,,,,,,,,,,,,,,,,,,
296,Fabinho,LIV,,,,,,,,,,,,,,,,,,
297,Gakpo,LIV,,,,,,,,0.5,0.5,0.5,,,,,,,,
298,Gomez,LIV,,,,,,,,,,,,,,,,,,
299,Henderson,LIV,,,,,,,,,,,,,,,,,,
300,Jones,LIV,,,0.5,0.5,,,,1,1,1,,,,,,,,
301,Kelleher,LIV,,,,,,,,,,,,,,,,,,
302,Konaté,LIV,,,,0.5,1,,,,,,,,,,,,,
303,Luis Díaz,LIV,,,,,,,,,,,,,,,,,,
304,Mac Allister,LIV,,,1,,,,,,,,,,,,,,,
305,Matip,LIV,,,,,,,,,,,,,,,,,,
306,Phillips,LIV,,,,,,,,,,,,,,,,,,
307,Robertson,LIV,,,,,,,,,0.5,1,,,,,,,,
308,Salah,LIV,,,,,,,,,,,,,,,,,,
309,Szoboszlai,LIV,,,,,,,,,,,,,,,,,,
310,Thiago,LIV,,,,1,1,1,1,1,1,1,,,,,,,,
311,Tsimikas,LIV,,,,,,,,,,,,,,,,,,
312,Van den Berg,LIV,,,,,,,,,,,,,,,,,,
313,Virgil,LIV,,,,1,1,,,,,,,,,,,,,
314,Adebayo,LUT,,,,,,,,,,,,,,,,,,
315,Andersen,LUT,,,,,,,,,0.5,1,,,,,,,,
316,Bell,LUT,,,,,,,,,1,1,,,,,,,,
317,Berry,LUT,,,,,,,,,,,,,,,,,,
318,Burke,LUT,1,1,1,,,,,,,1,,,,,,,,
319,Campbell,LUT,,,,,,,,,,,,,,,,,,
320,Clark,LUT,0.5,1,1,1,1,1,1,1,1,1,,,,,,,,
321,Doughty,LUT,,,,,0.5,,,,,,,,,,,,,
322,Freeman,LUT,,,,,,,,,,,,,,,,,,
323,Macey,LUT,,,,,,,,,,,,,,,,,,
324,McAtee,LUT,,,,,,,,,,,,,,,,,,
325,Mendes,LUT,,,,,,,,,,,,,,,,,,
326,Morris,LUT,,,,,,,,,,,,,,,,,,
327,Muskwe,LUT,,,,,,,,,,,,,,,,,,
328,Ogbene,LUT,,,,,,,,,,,,,,,,,,
329,Onyedinma,LUT,,,,,,,,,,,,,,,,,,
330,Osho,LUT,1,1,1,1,1,1,1,1,1,,,,,,,,,
331,Pepple,LUT,,,,,,,,,,,,,,,,,,
332,Pereira,LUT,,,,,,,,,,,,,,,,,,
333,Potts,LUT,,,1,1,1,1,1,1,1,1,,,,,,,,
334,Rea,LUT,,,,,,,,,,,,,,,,,,
335,Shea,LUT,,,,,,,,,,,,,,,,,,
336,Taylor,LUT,,,,,,,,,,,,,,,,,,
337,Thorpe,LUT,,,,,,,,,,,,,,,,,,
338,Walton,LUT,,,,,,,,,,,,,,,,,,
339,Watson,LUT,,,,,,,,,,,,,,,,,,
340,Woodrow,LUT,,,,,,,,,,,,,,,,,,
341,Akanji,MCI,,,,1,,,,,,1,,,,,,,,
342,Aké,MCI,0.5,,,,,,,,,,,,,,,,,
343,J.Alvarez,MCI,,,,,,,,,,,,,,,,,,
344,Bernardo,MCI,,,0.5,,,,1,1,,,,,,,,,,
345,Bobb,MCI,,,,,,,,,,,,,,,,,,
346,Cancelo,MCI,,,,,,,,,,,,,,,,,,
347,Carson,MCI,,,,,,,,,,,,,,,,,,
348,Charles,MCI,,,,,,,,,,,,,,,,,,
349,De Bruyne,MCI,,1,1,1,1,1,1,1,1,1,,,,,,,,
350,Rúben,MCI,,,,,,,,,,,,,,,,,,
351,Doyle,WOL,,,,,0.5,,1,,,,,,,,,,,
352,Ederson M.,MCI,,,,,,,,,,,,,,,,,,
353,Foden,MCI,,,,,,,,,,,,,,,,,,
354,Grealish,MCI,,,,,0.5,1,,,,,,,,,,,,
355,Haaland,MCI,,,,,,,,,,,,,,,,,,
